name,born,gender_details,basic
John Arden,"['Born: 26-Oct-1930', 'Birthplace: Barnsley, Yorkshire, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Playwright']","[""Wife: Margaretta D'Arcy (actress/playwright, m. 1957, five sons)""]"
Pierre Arditi,"['Born: 1-Dec-1944', 'Birthplace: Paris, France']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Sister: Catherine Arditi', 'Wife: Evelyne Bouix (together since 1986)']"
Emile Ardolino,"['Born: 9-May-1943', 'Birthplace: Maspeth, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Gay', 'Occupation: Film Director']","['Father: Emilio Ardolino (d. 1949)', 'Mother: Ester (d. 1975)']"
Jorge Pacheco Areco,"['Born: 8-Nov-1920', 'Birthplace: Montevideo, Uruguay']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Head of State']",['Wife: Graciela Rompani']
Gustavo Arellano,"['Born: 3-Feb-1979', 'Birthplace: Anaheim, CA']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: Hispanic', 'Occupation: Journalist, Columnist']","['Father: Lorenzo Arellano', 'Mother: María Arellano']"
Gilbert Arenas,"['Born: 6-Jan-1982', 'Birthplace: Los Angeles, CA']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Basketball']","['Daughter: Izela Samaya Arenas (b. 24-Dec-2005)', 'Son: Alijah Amani Arenas (b. 16-Mar-2007)']"
Reinaldo Arenas,"['Born: 16-Jul-1943', 'Birthplace: Holguín, Oriente, Cuba']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Gay [1]', 'Occupation: Novelist']",
Geoffrey Arend,"['Born: 28-Feb-1978', 'Birthplace: Manhattan, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']",['Wife: Christina Hendricks (m. 11-Oct-2009)']
Hannah Arendt,"['Born: 14-Oct-1906', 'Birthplace: Hanover, Germany']","['Gender: Female', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Philosopher']",
Moshe Arens,"['Born: 27-Dec-1925', 'Birthplace: Kaunas, Lithuania']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician']","['Wife: Muriel F. Eisenberg (two sons, one daughter)', 'Son: Yigal', 'Daughter: Aliza', 'Son: Ranaan', 'Daughter: Rut']"
Pietro Aretino,"['Born: 20-Apr-1492', 'Birthplace: Arezzo, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Author']","['Father: (cobbler, name unknown)']"
Emile Argand,"['Born: 6-Jan-1879', 'Birthplace: Geneva, Switzerland']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: White', 'Occupation: Geologist']","['Father: Gédéon-Louis (clerk)', 'Mother: Franceline Jeannette Taberlet (div. 1887)']"
Friedrich Wilhelm August Argelander,"['Born: 22-Mar-1799', 'Birthplace: Memel, East Prussia, Germany']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Astronomer']",
Rod Argent,"['Born: 14-Jun-1945', 'Birthplace: St. Albans, Hertfordshire, England']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Musician']",
Carlos Argentino,"['Born: 23-Jun-1929', 'Birthplace: Buenos Aires, Argentina']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Singer']",
Asia Argento,"['Born: 20-Sep-1975', 'Birthplace: Rome, Italy']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Dario Argento (film director)', 'Mother: Daria Nicolodi', 'Boyfriend: Vincent Gallo (broken engagement in 1998)', 'Boyfriend: Morgan (Italian rock musician)', 'Daughter: Anna Lou (b. 20-Jun-2001, with Morgan)', 'Boyfriend: Michael Pitt (broken engagement in 2004)']"
Dario Argento,"['Born: 7-Sep-1940', 'Birthplace: Rome, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director']","['Father: Salvatore Argento (film producer)', 'Mother: Elda Luxardo (Brazilian fashion model)', 'Girlfriend: Daria Nicolodi (Italian film actress, b. 19-Jun-1950, dated 1970s-early 1990s, two daughters)', 'Daughter: Asia Argento (actress, b. 1975, with Nicolodi)', 'Daughter: Fiore Argento (actress)']"
Carmen Argenziano,"['Born: 27-Oct-1943', 'Birthplace: Sharon, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
Victor Argo,"['Born: 5-Nov-1934', 'Birthplace: Bronx, NY']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Occupation: Actor']",
George Argyros,"['Born: 4-Feb-1937', 'Birthplace: Detroit, MI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Republican']","['Wife: Judie', 'Son: George Jr.', 'Daughter: Lisa', 'Daughter: Stephanie']"
Moises Arias,"['Born: 12-Apr-1994', 'Birthplace: New York City']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Occupation: Actor']",['Brother: Mateo']
Dan Ariely,"['Born: 29-Apr-1968', 'Birthplace: New York City, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Economist, Psychologist']","['Wife: Sumi (one son, one daughter)', 'Son: Amit (b. 2002)', 'Daughter: Neta (b. 2006)']"
Michael R. Arietti,['Born: ?'],"['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Diplomat']",['Wife: Lesley Arietti (one daughter)']
Francis Arinze,"['Born: 1-Nov-1932', 'Birthplace: Eziowelle, Nigeria']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: Black', 'Occupation: Religion']",
Ludovico Ariosto,"['Born: 8-Sep-1474', 'Birthplace: Reggio Emilia, Modena, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Poet']","['Father: Niccolo Ariosto (military commander)', 'Wife: Alessandra (widow of Tito Strozzi)']"
Ted Arison,"['Born: 1924', 'Birthplace: Tel Aviv, Israel']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Republican']","['Father: Meir Arison', 'Wife: Mina Wasserman Arison (m. 1948, div.)', 'Son: Micky Meir Arison (Carnival executive, b. 1949)', 'Daughter: Shari Arison (Bank Hapoalim executive, b. 1957)', 'Wife: Marilyn Hersh Lin Arison (m. 1968)', 'Son: Michael Arison']"
Aristarchus of Samos,"['Born: c. 310 BC', 'Birthplace: Samos, Greece']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Astronomer']",
Jean-Bertrand Aristide,"['Born: 15-Jul-1953', 'Birthplace: Port-Salut, Haiti']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Head of State']","['Wife: Mildred Trouillot (m. 20-Jan-1996, two daughters)', 'Daughter: Christine (b. 8-Nov-1996)', 'Daughter: Michaelle (b. 8-Sep-1998)']"
Aristides,"['Born: 530 BC', 'Birthplace: Anthens, Greece']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Military']",['Father: Lysimachus']
Aelius Aristides,"['Born: 117 AD', 'Birthplace: Hadriani, Mysia, Greece']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Scholar']",
Aristippus,"['Born: c. 435 BC', 'Birthplace: Cyrene, Greece']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Philosopher']","['Father: Aritadas (merchant)', 'Daughter: Arete']"
Aristophanes,"['Born: c. 450 BC', 'Died: c. 388 BC']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Playwright']",['Father: Philippus']
Aristotle,"['Born: 384 BC', 'Birthplace: Stagira, Chalcidice, Greece']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Philosopher, Scientist']",['Father: Nicomachus (physician to the King of Macedonia)']
Arius,"['Born: 256 AD', 'Birthplace: Libya']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: Middle Eastern', 'Occupation: Religion, Author']",['Father: Ammonius']
George Ariyoshi,"['Born: 12-Mar-1926', 'Birthplace: Honolulu, HI']","['Gender: Male', 'Race or Ethnicity: Asian', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Wife: Jean Hayashi (m. 1955, one daughter, two sons)', 'Daughter: Lynn (b. 1957)', 'Son: Ryozo (b. 1959)', 'Son: Donn (b. 1961)']"
Paul Arizin,"['Born: 9-Mar-1928', 'Birthplace: Philadelphia, PA']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Basketball']","['Wife: Maureen (four sons, one daughter)', 'Son: Michael', 'Daughter: Alicia', 'Son: Tim', 'Son: Dennis', 'Son: Christopher']"
Adam Arkin,"['Born: 19-Aug-1956', 'Birthplace: New York City']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Alan Arkin (actor, b. 1934)', 'Mother: Jeremy Arkin', 'Brother: Matthew Arkin (actor, Rescue Me)', 'Brother: Jed Wakefield (half-brother, lawyer, later married to Jeremy Arkin)', 'Mother: Barbara Dana (stepmother, actress, Inspector Clouseau, later married to Alan Arkin, div., one son)', 'Brother: Anthony Arkin (actor, Hollywood Ending, b. 1967, with Dana)', 'Wife: Phyllis Lyons (m. 21-Aug-1999)']"
Alan Arkin,"['Born: 26-Mar-1934', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor, Film Director, Musician']","['Father: David Arkin (art teacher)', 'Mother: Beatrice', 'Wife: Jeremy Yaffe (m. 1955, div. 1960, two sons)', 'Son: Adam Arkin (actor, b. 19-Aug-1957)', 'Son: Matthew Arkin (actor)', 'Wife: Barbara Dana (actress, b. 1940, m. 1964, div., one son)', 'Son: Anthony Arkin (actor, b. 1967)', 'Wife: Suzanne (psychotherapist)']"
Peter Arkley,['Born: c. 1955'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Allan Arkush,"['Born: 30-Apr-1948', 'Birthplace: Jersey City, NJ']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director']","['Wife: Joanne Palace', 'Wife: Diane', 'Daughter: Allison Regina (b. 29-May-1992)', 'Daughter: Jacqueline Marie (b. 7-May-1994)', 'Daughter: Samantha']"
Roone Arledge,"['Born: 8-Jul-1931', 'Birthplace: Queens, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Sports Figure, Business']","['Father: Roone Pinckney Arledge, Sr. (attorney, b. 4-Jan-1895, d. 1-Aug-1981)', 'Mother: Gertrude Agnes Stritmater (b. 6-Oct-1908, d. 28-Oct-1995)', 'Wife: Joan Heise (m. 1953. div. 1971, four children)', 'Wife: Gig Shaw (m. 21-May-1994, until his death)', 'Daughter: Elizabeth Ann Arledge (with Heise)', 'Daughter: Susan Lee Arledge (with Heise)', 'Daughter: Patricia Lu Arledge (with Heise)', 'Son: Roone Pinckney Arledge II (with Heise)', 'Wife: Ann Fowler (m. 1-Sep-1975, div. 1985)']"
Harold Arlen,"['Born: 15-Feb-1905', 'Birthplace: Buffalo, NY']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Songwriter']","['Father: Samuel Arluck (cantor)', 'Mother: Celia Orlin', 'Wife: Anya Taranda (""Annie"", showgirl, m. 8-Jan-1937, d. 9-Mar-1970, one son)', 'Son: Samuel']"
Richard Arlen,"['Born: 1-Sep-1898', 'Birthplace: Charlottesville, VA']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Jobyna Ralston (m. 1927, div. 1945, one son)', 'Son: Richard Arlen, Jr. (b. 17-May-1933)', 'Wife: Ruth Austin (div.)', 'Wife: Margaret Kinsella (m. 1945, until his death)']"
Arletty,"['Born: 15-May-1898', 'Birthplace: Courbevoie, Seine, France']","['Gender: Female', 'Race or Ethnicity: White', 'Occupation: Actor']",
George Arliss,"['Born: 10-Apr-1868', 'Birthplace: London, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Florence Arliss (m. 16-Sep-1899, no children, until his death)']"
Michael Armacost,"['Born: 15-Apr-1937', 'Birthplace: Cleveland, OH']","['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Diplomat', 'Party Affiliation: Republican']","['Father: George H. Armacost (President of University of Redlands, d. 1990)', 'Mother: Verda Gay Armacost (d. 1987)', 'Sister: Mary Armacost (Baptist clergywoman)', 'Brother: Peter Armacost (past president of Eckerd College)', 'Brother: Samuel Armacost (former president, Bank of America)', 'Wife: Roberta June Bray (""Bonny"", three sons)']"
Samuel Armacost,"['Born: Mar-1939', 'Birthplace: Newport News, VA']","['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: White', 'Occupation: Business']","['Father: George H. Armacost (President of University of Redlands, d. 1990)', 'Mother: Verda Gay Armacost (d. 1987)', 'Sister: Mary Armacost (Baptist clergywoman)', 'Brother: Michael Armacost (former US Ambassador to Japan)', 'Brother: Peter Armacost (past president of Eckerd College)', 'Wife: Mary Jane Armacost (m. 1962, two daughters)']"
Ayi Kwei Armah,"['Born: 28-Oct-1939', 'Birthplace: Takoradi, Ghana']","['Gender: Male', 'Race or Ethnicity: Black', 'Occupation: Novelist']",
Giorgio Armani,"['Born: 11-Jul-1934', 'Birthplace: Piacenza, Emilia-Romagna, Italy']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Bisexual', 'Occupation: Fashion Designer']","['Father: Ugo Armani', 'Mother: Maria Raimondi', 'Sister: Rosanna Armani', 'Boyfriend: Sergio Galeotti (cohabited, d. 1985 AIDS)']"
Jose Armario,"['Born: c. 1959', 'Birthplace: Cuba']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Business']",['Wife: Mary (three children)']
Tony Armas,"['Born: 2-Jul-1953', 'Birthplace: Puerto Píritu, Venezuela']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Baseball']","['Father: Jose Rafael Armas', 'Mother: Julieta Machado', 'Brother: Marcos Armas (MLB player, b. 5-Aug-1969)', 'Wife: Luisa Antonio (three daughters, one son)', 'Daughter: Griselda', 'Daughter: Maria Luisa', 'Son: Antonio, Jr. (MLB pitcher, b. 29-Apr-1978)', 'Daughter: Antoinnette']"
Joan Armatrading,"['Born: 9-Dec-1950', 'Birthplace: Basseterre, St. Kitts, West Indies']","['Gender: Female', 'Race or Ethnicity: Black', 'Occupation: Singer/Songwriter']","['Father: Amos Ezekiel Armatrading', 'Mother: Beryl Madge Benjamin']"
Pedro Armendáriz,"['Born: 9-May-1912', 'Birthplace: Mexico City, Mexico']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Pedro Armendáriz García Conde', 'Mother: Adela Hastings', 'Wife: Carmelita Bohr (m. 19-Jun-1938, until his death)', 'Son: Pedro Armendáriz, Jr. (actor, b. 6-Apr-1940, d. 26-Dec-2011)']"
Henry Armetta,"['Born: 4-Jul-1888', 'Birthplace: Palermo, Sicily']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']","['Father: John Armetta', 'Mother: Rosalie Armetta']"
Dick Armey,"['Born: 7-Jul-1940', 'Birthplace: Cando, ND']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician, Economist', 'Party Affiliation: Republican']","['Father: Glenn Armey', 'Mother: Marion Gutschlog', 'Wife: Susan Byrd (2nd, three sons, one daughter)']"
Fred Armisen,"['Born: 4-Dec-1966', 'Birthplace: Valley Stream, Long Island, NY']","['Gender: Male', 'Race or Ethnicity: Multiracial', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Sally Timms (div.)', 'Wife: Elisabeth Moss (actress, b. 24-Jul-1982, m. 25-Oct-2009, separated 2010, div. 13-May-2011)', 'Girlfriend: Abby Elliott (comedian, dated 2010)']"
George Armitage,['Born: 1942'],"['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director']",['Son: Brent Armitage']
Richard Armitage,"['Born: 26-Apr-1945', 'Birthplace: Boston, MA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Government', 'Party Affiliation: Republican']",['Wife: Laura Samford Armitage (eight children)']
Philip Danforth Armour,"['Born: 16-May-1832', 'Birthplace: Stockbridge, NY']","['Gender: Male', 'Religion: Methodist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']","['Father: Danforth Armour (farmer, b. 1-Mar-1799, d. 9-Jan-1873)', 'Mother: Juliana Ann Brooks (b. 1797, six sons, three daughters)', 'Brother: Simeon Armour (b. 1-Feb-1828)', 'Brother: Andrew Watson Armour (Armour executive, b. 27-Jan-1829, d. 1892)', 'Brother: Herman Ossian Armour (grain merchant, b. 2-Mar-1837)', 'Brother: Joseph Armour (grain merchant, d. 1881)', 'Wife: Malvina Belle Armour (b. 7-May-1842, d. 1927)', 'Son: Jonathan Ogden Armour (Armour executive, b. 11-Nov-1863, d. 16-Aug-1927)', 'Son: Philip D. Armour, Jr. (Armour executive, d. 1900)']"
Richard Armour,"['Born: 15-Jul-1906', 'Birthplace: San Pedro, CA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Father: Harry Willard Armour', 'Mother: Sue Wheelock', 'Wife: Kathleen Fauntleroy Stevens (m. 25-Dec-1932, one son, one daughter)', 'Son: Geoffrey Stevens', 'Daughter: Karin Elizabeth']"
Tommy Armour,"['Born: 24-Sep-1894', 'Birthplace: Edinburgh, Scotland']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Golf']",['Wife: (m.)']
Alan S. Armstrong,['Born: c. 1964'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Alun Armstrong,"['Born: 17-Jul-1946', 'Birthplace: Annfield Plain, County Durham, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Son: Joe Armstrong (actor, b. 7-Oct-1978)']"
Anne L. Armstrong,"['Born: 27-Dec-1927', 'Birthplace: New Orleans, LA']","['Gender: Female', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Government, Business', 'Party Affiliation: Republican']","['Father: Armant Legendre', 'Mother: Olive', 'Sister: Katharine Legendre King', 'Husband: Tobin Armstrong (b. 9-Jul-1923, m. 1950, d. 7-Oct-2005 cancer, three sons, two daughters)', 'Son: J. Barclay Armstrong', 'Daughter: Katharine Armstrong (lobbyist)', 'Daughter: Sarita Hixon', 'Son: James Armstrong', 'Son: Tobin Armstrong, Jr.']"
Bess Armstrong,"['Born: 11-Dec-1953', 'Birthplace: Baltimore, MD']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Husband: Chris Carrerras (m. 1983, div.)', 'Husband: John Fiedler (producer)', 'Daughter: Lucy (b. Jul-1986, d.)']"
Billie Joe Armstrong,"['Born: 17-Feb-1972', 'Birthplace: Oakland, CA [1]']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Bisexual [2]', 'Occupation: Musician']",
C. Michael Armstrong,"['Born: 18-Oct-1938', 'Birthplace: Detroit, MI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']","['Father: Charles H. Armstrong', 'Mother: Zora Jean Brooks', 'Wife: Anne Gossett (m. 1961, three daughters)']"
Craig Armstrong,"['Born: 1959', 'Birthplace: Glasgow, Scotland']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Composer']",
Curtis Armstrong,"['Born: 27-Nov-1953', 'Birthplace: Detroit, MI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Robert Leroy Armstrong', 'Mother: Norma E.', 'Wife: Elaine Aronson (producer, m. 1994, one daughter)', 'Daughter: Lily']"
Dean Armstrong,"['Born: 24-Apr-1973', 'Birthplace: Owen Sound, Ontario, Canada']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
Edwin H. Armstrong,"['Born: 18-Dec-1890', 'Birthplace: New York City']","['Gender: Male', 'Religion: Presbyterian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Inventor']","['Father: John Armstrong (publisher)', 'Mother: Emily Smith Armstrong (schoolteacher)', 'Wife: Marion MacInnis (m. 1-Dec-1923)']"
Gillian Armstrong,"['Born: 18-Dec-1950', 'Birthplace: Melbourne, Victoria, Australia']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director']",
Greg L. Armstrong,['Born: c. 1959'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Henry Armstrong,"['Born: 12-Dec-1912', 'Birthplace: Columbus, MS']","['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Boxing']","['Father: Henry Jackson, Sr.', 'Mother: America', 'Wife: Gussie (until his death, one daughter)']"
John Armstrong,"['Born: 25-Nov-1758', 'Birthplace: Carlisle, PA']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democrat-Republican']","['Father: John Armstrong (politician and soldier, b. 1725, d. 1795)', 'Wife: (sister of Robert R. Livingston, m. 1789)']"
Karen Armstrong,"['Born: 14-Nov-1944', 'Birthplace: Wildmoor, Worcestershire, England']","['Gender: Female', 'Religion: Roman Catholic [1]', 'Race or Ethnicity: White', 'Occupation: Author']",
Katharine Armstrong,['Born: ?'],"['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Government', 'Party Affiliation: Republican']","['Father: Tobin Armstrong (b. 9-Jul-1923, d. 7-Oct-2005, cancer)', 'Mother: Anne L. Armstrong', 'Brother: J. Barclay Armstrong', 'Sister: Sarita Hixon', 'Brother: James Armstrong', 'Brother: Tobin Armstrong, Jr.', 'Husband: Warren Bruce Idsal (m. 5-Jun-1982, div.)', 'Son: Karsten Idsal']"
Lance Armstrong,"['Born: 18-Sep-1971', 'Birthplace: Plano, TX']","['Gender: Male', 'Religion: Atheist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Cyclist']","['Father: Edward Gunderson', 'Mother: Linda Armstrong Kelly (nee Mooneyham)', 'Father: Terry Armstrong (stepfather)', 'Wife: Kristin Richard (m. 8-May-1998, div. 2003, one son, two daughters)', 'Son: Luke David Armstrong (12-Oct-1999)', 'Daughter: Isabelle Armstrong (twin, b. 2001)', 'Daughter: Grace Armstrong (twin, b. 2001)', 'Girlfriend: Sheryl Crow (singer/songwriter, together 2004)', 'Girlfriend: Ashley Olsen (Olsen twin, together 2007)', 'Girlfriend: Anna Hansen (together since 2008, one son, one daughter)', 'Son: Max Armstrong (b. 7-Jun-2009)', 'Daughter: Olivia Marie Armstrong (b. 18-Oct-2010)']"
Louis Armstrong,"['Born: 4-Aug-1901', 'Birthplace: New Orleans, LA']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Jazz Musician']","['Father: William Armstrong (turpentine worker)', 'Mother: May-Ann', 'Sister: Beatrice (Mama Lucy)', 'Wife: Daisy Parker (m. 1918, div.)', 'Wife: Lil Hardin (musician, m. 1924, div. 1931)', 'Wife: Alpha Smith (m. 1938, div. )', 'Wife: Lucille Wilson (m. 12-Oct-1942, d. 1983)']"
Neil Armstrong,"['Born: 5-Aug-1930', 'Birthplace: Wapakoneta, OH']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Astronaut']","['Father: Stephen Armstrong', 'Mother: Viola Armstrong', 'Wife: Janet Shearon Armstrong (m. 1956, div. 1994, two sons)', 'Wife: Carol Held Knight']"
R. G. Armstrong,"['Born: 7-Apr-1917', 'Birthplace: Birmingham, AL']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Ann Neale (m. 1952, div. 1972, three daughters, one son)', 'Daughter: Daryl Armstrong', 'Daughter: Laure Nell', 'Daughter: Robbie Armstrong-Dunham', 'Son: Wynn', 'Wife: Susan Guthrie (m. 1973, div. 1976)', 'Wife: Mary Craven (m. 19-Jul-1993, d. 1-Nov-2003)', 'Daughter: Betty (mother=?)']"
Robert Armstrong,"['Born: 20-Nov-1890', 'Birthplace: Saginaw, MI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Jeanne Kent', 'Wife: Peggy Allenby', 'Wife: Louise de Bois (m. 1-Jan-1939, until his death)']"
Samaire Armstrong,"['Born: 31-Oct-1980', 'Birthplace: Tokyo, Japan']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']",
Tim Armstrong,"['Born: 25-Nov-1966', 'Birthplace: Albany, CA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Musician']","['Wife: Brody Dalle (The Distillers, m. 1997, div. 2003)']"
William L. Armstrong,"['Born: 16-Mar-1937', 'Birthplace: Fremont, NE']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Republican']","['Wife: Ellen M. Eaton (m. 1962, until his death, one daughter, one son)', 'Daughter: Anne', 'Son: Wil']"
Ellis Arnall,"['Born: 20-Mar-1907', 'Birthplace: Newnan, GA']","['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: Joseph Gibbs Arnall', 'Mother: Bessie Lena Ellis', 'Brother: Frank Marion II', 'Wife: Mildred Delaney Siemons (m. 1935, d. 1980, one son, one daughter)', 'Son: Alvan', 'Daughter: Alice', 'Wife: Ruby Hamilton McCord (until his death)']"
Roland Arnall,"['Born: 29-Mar-1939', 'Birthplace: Paris, France']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business, Diplomat', 'Party Affiliation: Republican']","['Father: (tailor)', 'Mother: (nurse)', 'Wife: (div.)', 'Wife: Dawn L. Arnall (Co-CEO of Ameriquest)', 'Son: Daniel', 'Daughter: Michelle']"
